ITEM;2
Intituição;FUNCEME
codigo;26.0
nome;Aiuaba
municipio;Acaraú
codigo_municipio;2300200.0
macrorregiao;Litoral Norte
latitude;-2.86666666666666
longitude;-39.9833333333333
altitude;
variáveis_coletadas;19.0, 22.0, 14.0, 21.0, 39.0, 2.0, 6.0, 18.0, 31.0
data_inicial;
data;
data_final;
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Hobeco
Radiação;CMP6
dir vel vento;Windsonic Gill
temp umidade;HMP 110 Vaisala
pressão;BARO-1QML
pluv;TB4
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;QML201
Bateria;12V, 26Ah
Controlador de carga;Morningstar sun saver 10
supressor de transiente;Clamper series 900 e 800
Torre;Ferro galvanizado 10m
Painel solar;20 Watts
Comunicação;V1001200 OMNISAT
Área;Pública - Ibama
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
