;9
ITEM;10
Intituição;FUNCEME
codigo;80.0
nome;Boa Viagem
municipio;Boa Viagem
codigo_municipio;2302404.0
macrorregiao;Sertão Central e Inhamuns
latitude;-5.1416666666667
longitude;-39.735833333333
altitude;
variáveis_coletadas;2.0, 6.0, 14.0, 18.0, 19.0, 21.0, 22.0, 31.0, 39.0, 50.0, 51.0
data_inicial;06/02/2005
data;1969, 1970
data_final;09/08/2020
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Campbell
Radiação;SPLite Kipp&Zonen
dir vel vento;Met One 034
temp umidade;HMP 145 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;107L Campbell
fluxo calor solo;HFP01-10 Hukseflux
umidade solo;CS615 Campbell
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Particular
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
