;25
ITEM;26
Intituição;FUNCEME 
codigo;53.0
nome;Lavras da Mangabeira
municipio;
codigo_municipio;2307502.0
macrorregiao;Cariri
latitude;-6.8888888888889
longitude;-39085.0
altitude;
variáveis_coletadas;2.0, 6.0, 14.0, 18.0, 19.0, 21.0, 22.0, 39.0, 31.0, 51.0, 50
data_inicial;
data;
data_final;
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Campbell
Radiação;SPLite Kipp&Zonen
dir vel vento;Met One 034
temp umidade;HMP 145 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - Cogerh
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
