;29
ITEM;30
Intituição;FUNCEME 
codigo;13.0
nome;Pacajus
municipio;Pacajus
codigo_municipio;2309607.0
macrorregiao;Litoral de Fortaleza
latitude;-4.19
longitude;-38.498333333333
altitude;
variáveis_coletadas;2.0, 3.0, 4.0, 6.0, 9.0, 14.0, 17.0, 18.0, 19.0, 21.0, 22.0, 30.0, 31.0, 39.0, 51.0, 52.0, 54.0, 100.0
data_inicial;
data;
data_final;
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Hobeco
Radiação;CMP6
dir vel vento;Windsonic Gill
temp umidade;HMP 110 Vaisala
pressão;BARO-1QML
pluv;TB4
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;QML201
Bateria;12V, 26Ah
Controlador de carga;Morningstar sun saver 10
supressor de transiente;Clamper series 900 e 800
Torre;Ferro galvanizado 10m
Painel solar;20 Watts
Comunicação;V1001200 OMNISAT
Área;Pública - Embrapa
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
