;37
ITEM;38
Intituição;FUNCEME-SDA
codigo;4725.0
nome;Piquet Carneiro - Mororó
municipio;Piquet Carneiro 
codigo_municipio;2310902.0
macrorregiao;Sertão Central e Inhamuns
latitude;-5.943668
longitude;-39.534333
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;1h
FORNECEDOR;Campbell
Radiação;CMP6
dir vel vento;Windsonic Gill
temp umidade;HMP 155A Vaisala
pressão;61302V YOUNG
pluv;PluvDb Dual base
temp solo;108L Campbell
fluxo calor solo;HFP01- Hukseflux
umidade solo;CS650 Campbell
Datalogger;CR1000 Campbell
Bateria;12 V, 55Ah
Controlador de carga;
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;TX 321 Campbell
Área;Particular
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
