;42
ITEM;43
Intituição;FUNCEME
codigo;4705.0
nome;Redenção
municipio;Redenção 
codigo_municipio;2311603.0
macrorregiao;Maciço do Baturité
latitude;-4.19234
longitude;-38.799701
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;1h
FORNECEDOR;Hobeco
Radiação;CMP6
dir vel vento;Windsonic Gill
temp umidade;HMP 110 Vaisala
pressão;BARO-1QML
pluv;TB4
temp solo;
fluxo calor solo;
umidade solo;
Datalogger;QML201
Bateria;12V, 26Ah
Controlador de carga;Morningstar sun saver 10
supressor de transiente;Clamper series 900 e 800
Torre;Ferro galvanizado 10m
Painel solar;20 Watts
Comunicação;V1001200 OMNISAT
Área;Pública - Cogerh
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
