;44
ITEM;45
Intituição;FUNCEME
codigo;35.0
nome;Santa Quitéria
municipio;Santa Quitéria
codigo_municipio;2312205.0
macrorregiao;Sertão Central e Inhamuns
latitude;-4.3097222222222
longitude;-40.176666666667
altitude;
variáveis_coletadas;
data_inicial;
data;
data_final;
ativo;
frequencia;3h (00h, 03h, 06h, 09h, 12h, 15h, 18h, 21h)
FORNECEDOR;Campbell
Radiação;CMP3
dir vel vento;Met One 034
temp umidade;HMP 155 Vaisala
pressão;PTB 101B Vaisala
pluv;TB4 Campbell
temp solo;107L Campbell
fluxo calor solo;HFP01-10 Hukseflux
umidade solo;CS615 Campbell
Datalogger;CR23 X
Bateria;12V, 26Ah
Controlador de carga;Steca PR 0303 - EPV LS1024
supressor de transiente;Clamper series 900 e 800
Torre;Alumínio 10m
Painel solar;20 Watts
Comunicação;SAT SCD/ARGOS
Área;Pública - DAS
qualidade dos dados/sensores;
fabricante;
manutenção;
filtros;
n de patrimonio;
financiamento;
